,number,value,datetime_start,datetime_complete,duration,params_input_scaling,params_leaking_rate,params_ridge,params_spectral_radius,user_attrs_n_folds,user_attrs_n_inits,user_attrs_seeds,user_attrs_top10_accuracy,state
46,46,0.023781011163244756,2023-02-05 20:36:26,2023-02-05 20:42:05,0 days 00:05:39,0.3466184202225697,0.5347675652890208,6.670994311936888e-07,0.681307951312022,3.0,1.0,[69065],0.1601523807192975,COMPLETE
47,47,0.020404263237007756,2023-02-05 20:42:05,2023-02-05 20:47:25,0 days 00:05:20,35.888522824426715,0.00034063194470166226,0.00042123652834639416,0.0002597187116284941,3.0,1.0,[69065],0.12502041229293323,COMPLETE
48,48,0.020458302665145547,2023-02-05 20:47:25,2023-02-05 20:52:43,0 days 00:05:18,87.01994472595723,0.0006335573331004003,0.0015634157537698728,0.2994518906022996,3.0,1.0,[69065],0.1292753035515564,COMPLETE
49,49,0.020444712241978902,2023-02-05 20:52:43,2023-02-05 20:58:07,0 days 00:05:24,28.918306645355763,0.00017866886729113677,0.00020662538842431446,0.1272383465635764,3.0,1.0,[69065],0.12096142799290532,COMPLETE
50,50,0.023927384185489856,2023-02-05 20:58:07,2023-02-05 21:03:32,0 days 00:05:25,0.0001979629429583134,0.2706463898645788,1.4712402818435232e-06,0.0006636897447055214,3.0,1.0,[69065],0.15917570607947507,COMPLETE
51,51,0.022129255043332283,2023-02-05 21:03:32,2023-02-05 21:08:54,0 days 00:05:22,62.37477639621525,0.0460146754803569,0.0002206674988299565,0.5307559921889656,3.0,1.0,[69065],0.1480351386002133,COMPLETE
52,52,0.02140897814453877,2023-02-05 21:08:54,2023-02-05 21:14:17,0 days 00:05:23,0.0006118826846711608,0.017891540398658656,1.5464924296067544e-08,0.10496621611985926,3.0,1.0,[69065],0.14307381909169403,COMPLETE
53,53,0.022689013444499005,2023-02-05 21:14:17,2023-02-05 21:19:52,0 days 00:05:35,0.010994441443661422,0.02305199047421545,4.622592037924563e-05,5.272985399079643,3.0,1.0,[69065],0.14251817884371878,COMPLETE
54,54,0.023316660218492127,2023-02-05 21:19:52,2023-02-05 21:25:23,0 days 00:05:31,0.001205742613150024,2.194398927525112e-06,1.3420152057240133e-06,0.3187355286730931,3.0,1.0,[69065],0.1370064806213576,COMPLETE
55,55,0.019518976990464978,2023-02-05 21:25:23,2023-02-05 21:30:55,0 days 00:05:32,0.32253776091519293,0.00021136368890155391,5.299378800765832e-05,0.0011510218388545706,3.0,1.0,[69065],0.12490064879628955,COMPLETE
56,56,0.023025051934910615,2023-02-05 21:30:55,2023-02-05 21:36:21,0 days 00:05:26,8.406346090582284,0.05622026027050176,1.5665348891152412e-05,52.34895051143597,3.0,1.0,[69065],0.14726668884834568,COMPLETE
57,57,0.01638672623730179,2023-02-05 21:36:21,2023-02-05 21:41:56,0 days 00:05:35,0.4979260533509854,1.3866652428596016e-06,2.4968871477233587e-07,0.3536704684126189,3.0,1.0,[69065],0.1186070445402101,COMPLETE
58,58,0.021614433983033855,2023-02-05 21:41:56,2023-02-05 21:47:23,0 days 00:05:27,0.020846867800509136,0.009556113024390946,1.8319368253237065e-08,0.00843286897084867,3.0,1.0,[69065],0.1426062351489609,COMPLETE
59,59,0.028168339388911588,2023-02-05 21:47:23,2023-02-05 21:52:52,0 days 00:05:29,0.0007760178612031081,5.975455810194864e-05,0.002291008137086247,0.05653201800039891,3.0,1.0,[69065],0.17351484794919883,COMPLETE
60,60,0.01688194713642181,2023-02-05 21:52:52,2023-02-05 21:58:26,0 days 00:05:34,0.003278166745787087,0.001014531207349378,4.27704763439747e-06,2.359575207853918,3.0,1.0,[69065],0.10911594213000464,COMPLETE
61,61,0.02345449981207866,2023-02-05 21:58:26,2023-02-05 22:03:48,0 days 00:05:22,95.73432010400417,0.1959830337923235,4.9722116073766703e-05,6.310711184693333,3.0,1.0,[69065],0.15701370582463026,COMPLETE
62,62,,2023-02-05 22:03:48,2023-02-05 22:09:18,0 days 00:05:30,0.00013616365917691858,0.002739043044845443,1.7036928874860042e-05,0.623277407451556,,,,,FAIL
