,number,value,datetime_start,datetime_complete,duration,params_input_scaling,params_leaking_rate,params_ridge,params_spectral_radius,user_attrs_n_folds,user_attrs_n_inits,user_attrs_seeds,user_attrs_top10_accuracy,state
55,55,0.01930099838719396,2023-02-04 17:29:34,2023-02-04 17:32:50,0 days 00:03:16,0.32253776091519293,0.00021136368890155391,5.299378800765832e-05,0.0011510218388545706,3,1,[69065],0.12379591504730182,COMPLETE
56,56,0.02130770381726978,2023-02-04 17:32:50,2023-02-04 17:36:00,0 days 00:03:10,8.406346090582284,0.05622026027050176,1.5665348891152412e-05,52.34895051143597,3,1,[69065],0.13963083596973153,COMPLETE
57,57,0.015652005261895,2023-02-04 17:36:00,2023-02-04 17:39:11,0 days 00:03:11,0.4979260533509854,1.3866652428596016e-06,2.4968871477233587e-07,0.3536704684126189,3,1,[69065],0.11635214972321861,COMPLETE
58,58,0.02156309572027189,2023-02-04 17:39:11,2023-02-04 17:42:11,0 days 00:03:00,0.020846867800509136,0.009556113024390946,1.8319368253237065e-08,0.00843286897084867,3,1,[69065],0.13999540943865893,COMPLETE
59,59,0.028604791602052,2023-02-04 17:42:11,2023-02-04 17:45:10,0 days 00:02:59,0.0007760178612031081,5.975455810194864e-05,0.002291008137086247,0.05653201800039891,3,1,[69065],0.18162581103011743,COMPLETE
60,60,0.01667425570792338,2023-02-04 17:45:10,2023-02-04 17:48:14,0 days 00:03:04,0.003278166745787087,0.001014531207349378,4.27704763439747e-06,2.359575207853918,3,1,[69065],0.10890959433310059,COMPLETE
61,61,0.021672612713435045,2023-02-04 17:48:14,2023-02-04 17:51:11,0 days 00:02:57,95.73432010400417,0.1959830337923235,4.9722116073766703e-05,6.310711184693333,3,1,[69065],0.139849822037881,COMPLETE
62,62,0.025613104087983524,2023-02-04 17:51:11,2023-02-04 17:54:12,0 days 00:03:01,0.00013616365917691858,0.002739043044845443,1.7036928874860042e-05,0.623277407451556,3,1,[69065],0.16641128674320874,COMPLETE
63,63,0.019665739569740295,2023-02-04 17:54:12,2023-02-04 17:57:14,0 days 00:03:02,0.025068426978556938,7.865200135874891e-05,0.00022692648465115828,0.0010321871814954794,3,1,[69065],0.13262477923197466,COMPLETE
64,64,0.02211048901338031,2023-02-04 17:57:14,2023-02-04 18:00:24,0 days 00:03:10,2.8190904649999684,0.2750878185157735,9.501022131425866e-08,0.0002496661620798706,3,1,[69065],0.14025106489163364,COMPLETE
65,65,0.021672552815714004,2023-02-04 18:00:24,2023-02-04 18:03:28,0 days 00:03:04,0.12269864063322533,0.1709927451974566,1.2145771663901815e-08,0.00032735757703505506,3,1,[69065],0.1404701348165926,COMPLETE
66,66,0.0200668027303298,2023-02-04 18:03:28,2023-02-04 18:06:28,0 days 00:03:00,0.00037225178459616385,0.00012221595739706046,1.4299029793481409e-08,0.03641170848981569,3,1,[69065],0.12999792873680618,COMPLETE
67,67,0.022767051892869813,2023-02-04 18:06:28,2023-02-04 18:09:36,0 days 00:03:08,0.5475142109110976,0.6089143897768351,1.144636429585174e-06,10.038039299498255,3,1,[69065],0.13711328683593046,COMPLETE
68,68,0.02076040636051504,2023-02-04 18:09:36,2023-02-04 18:12:38,0 days 00:03:02,13.453079375483068,0.08448589647481138,1.2926308545869108e-07,0.04278197827491408,3,1,[69065],0.13977668692048204,COMPLETE
69,69,0.016965861773070776,2023-02-04 18:12:39,2023-02-04 18:15:37,0 days 00:02:58,0.008166266204362858,0.00029862652899056736,6.41190066407823e-08,0.8981552009913727,3,1,[69065],0.11554980777024383,COMPLETE
70,70,0.015032339378570727,2023-02-04 18:15:37,2023-02-04 18:18:45,0 days 00:03:08,0.07188420480495057,0.00010372885466050889,9.164387442146399e-05,8.451779945539446,3,1,[69065],0.10186910838528562,COMPLETE
71,71,0.025613307740235083,2023-02-04 18:18:45,2023-02-04 18:21:44,0 days 00:02:59,0.0003566294389717768,1.1720487038616762e-05,1.346715242006158e-06,0.0003892946521911641,3,1,[69065],0.1699867614056941,COMPLETE
72,72,0.0214171728922561,2023-02-04 18:21:44,2023-02-04 18:24:48,0 days 00:03:04,10.95080315966853,0.0006736499982783555,5.254641076668004e-06,0.2303923497545873,3,1,[69065],0.12875834539972922,COMPLETE
73,73,0.018425006196419243,2023-02-04 18:24:48,2023-02-04 18:27:48,0 days 00:03:00,21.333620789974802,9.024908149385545e-06,1.5833369350734875e-05,0.020460322239144194,3,1,[69065],0.1143817902302744,COMPLETE
74,74,0.021380719139226623,2023-02-04 18:27:48,2023-02-04 18:30:48,0 days 00:03:00,20.591246487213933,0.0003572089269461245,2.253239934871626e-06,0.0001512395336986973,3,1,[69065],0.12328546666853547,COMPLETE
75,75,0.0185346549645687,2023-02-04 18:30:48,2023-02-04 18:33:56,0 days 00:03:08,0.855138202072122,2.1977689597452082e-05,4.006977114667818e-06,1.357157855142969,3,1,[69065],0.11751980787686178,COMPLETE
76,76,0.021125015768075062,2023-02-04 18:33:56,2023-02-04 18:36:55,0 days 00:02:59,75.03478869227564,0.011458390299539557,1.5242080048345842e-05,0.8491997565177056,3,1,[69065],0.13901053517056416,COMPLETE
77,77,0.027035962471921447,2023-02-04 18:36:55,2023-02-04 18:39:55,0 days 00:03:00,0.00045209795039277706,0.001741879119428565,0.0006083851933521512,0.0009608653844040603,3,1,[69065],0.17600727302088046,COMPLETE
78,78,0.022949380555738242,2023-02-04 18:39:55,2023-02-04 18:42:56,0 days 00:03:01,0.00017743695296347026,0.12776572576158943,6.709915922726522e-08,0.0006549460574723494,3,1,[69065],0.14426424814044528,COMPLETE
79,79,0.02466459971610876,2023-02-04 18:42:56,2023-02-04 18:46:00,0 days 00:03:04,0.18154005330226528,1.1251863573922936e-06,0.000241125456638782,0.1745225514619104,3,1,[69065],0.14203866445811789,COMPLETE
80,80,0.021052455668798185,2023-02-04 18:46:00,2023-02-04 18:49:06,0 days 00:03:06,0.01110197129367617,0.008654624521784775,4.0576834932648646e-05,4.130413006539836,3,1,[69065],0.1376612551471609,COMPLETE
81,81,0.02196433857402454,2023-02-04 18:49:06,2023-02-04 18:52:13,0 days 00:03:07,0.4275656003690259,0.0023090550563784435,0.000741091942609126,0.23703069291116305,3,1,[69065],0.13733205727228415,COMPLETE
82,82,0.02192788482099506,2023-02-04 18:52:13,2023-02-04 18:55:14,0 days 00:03:01,27.216747348728134,0.0019407801538352685,1.8029015715412968e-06,82.12114297847623,3,1,[69065],0.13656582166555675,COMPLETE
83,83,0.02138046756879822,2023-02-04 18:55:14,2023-02-04 18:58:11,0 days 00:02:57,61.855825692756106,0.009603513235622143,0.003325752156148555,0.0001577549685863944,3,1,[69065],0.13875516722665046,COMPLETE
84,84,0.020614507491587664,2023-02-04 18:58:11,2023-02-04 19:01:14,0 days 00:03:03,0.00022142737385819915,0.007997014047683913,2.8518112198387537e-08,28.808582893918725,3,1,[69065],0.13678505930413465,COMPLETE
85,85,0.019410431523547652,2023-02-04 19:01:14,2023-02-04 19:04:17,0 days 00:03:03,1.5750114839794547,0.01534053515240137,9.47820791612897e-06,37.701853092675094,3,1,[69065],0.13850001491453257,COMPLETE
86,86,0.028677770985376213,2023-02-04 19:04:17,2023-02-04 19:07:19,0 days 00:03:02,0.002178840817028143,2.867129062979559e-06,0.0021753858368918845,0.09842796001568635,3,1,[69065],0.1816987664543532,COMPLETE
87,87,0.020577862065850838,2023-02-04 19:07:19,2023-02-04 19:10:29,0 days 00:03:10,1.656109795946029,0.009522227906113881,0.004096723039075078,0.007049747341036098,3,1,[69065],0.13784299681236306,COMPLETE
88,88,0.01864405216228976,2023-02-04 19:10:29,2023-02-04 19:13:27,0 days 00:02:58,92.17734525204304,1.1142916972328353e-05,1.0273585234794818e-08,0.0033220259955210954,3,1,[69065],0.11562223609453443,COMPLETE
89,89,0.021854857519494012,2023-02-04 19:13:27,2023-02-04 19:16:27,0 days 00:03:00,0.006887443976926432,0.0813463304749525,1.1667876552411067e-06,0.008708728692582709,3,1,[69065],0.14211150008691162,COMPLETE
90,90,0.020687403018102412,2023-02-04 19:16:27,2023-02-04 19:19:34,0 days 00:03:07,0.16233205310937326,0.0010961193967604544,6.108672904745179e-07,0.0004902668641113905,3,1,[69065],0.1314581752782219,COMPLETE
91,91,0.018607586429716074,2023-02-04 19:19:34,2023-02-04 19:22:40,0 days 00:03:06,0.004624979837189386,0.000952089879750703,2.461798724578776e-05,14.420800307373087,3,1,[69065],0.11908954745235227,COMPLETE
92,92,0.01864407612137818,2023-02-04 19:22:40,2023-02-04 19:25:42,0 days 00:03:02,29.402276131238896,5.1939167757793705e-05,6.257826893336424e-07,2.8545365436317924,3,1,[69065],0.11737419651699543,COMPLETE
